work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2024,"Senior level","Full time",Analyst,72473,USD,72473,US,100,US,Medium
2024,"Mid level","Full time","Software Engineer",213815,USD,213815,US,0,US,Medium
2024,"Senior level","Full time","Data Architect",197625,USD,197625,US,100,US,Medium
2024,"Entry level","Full time","Research Associate",41123,GBP,51403,GB,0,GB,Medium
2024,"Mid level","Full time","Data Manager",30820,GBP,38525,GB,0,GB,Medium
2024,"Mid level","Full time","Data Manager",25866,GBP,32332,GB,0,GB,Medium
2024,"Senior level","Full time","Power BI Developer",97024,USD,97024,US,0,US,Medium
2024,"Senior level","Full time","Software Engineer",56509,GBP,70636,GB,0,GB,Medium
2024,"Mid level","Full time","Machine Learning Engineer",160100,USD,160100,CA,0,CA,Medium
2024,"Mid level","Full time","Machine Learning Engineer",118300,USD,118300,CA,0,CA,Medium
2024,"Expert Level","Full time","Data Governance",217350,USD,217350,US,0,US,Medium
2024,"Senior level","Full time","Data Governance Lead",266200,USD,266200,US,0,US,Medium
2024,"Entry level","Full time","Data Analytics Consultant",102082,USD,102082,US,0,US,Medium
2024,"Entry level","Full time",Analyst,119392,USD,119392,US,0,US,Medium
2024,"Entry level","Full time",Analyst,79594,USD,79594,US,0,US,Medium
2024,"Senior level","Full time",Architect,339500,USD,339500,US,0,US,Medium
2024,"Senior level","Full time","Data Analyst",108120,USD,108120,US,0,US,Medium
2024,"Entry level","Full time",Analyst,85008,USD,85008,US,0,US,Medium
2024,"Entry level","Full time",Analyst,50736,USD,50736,US,0,US,Medium
2024,"Senior level","Full time","Analytics Engineer",39720,EUR,44133,LT,0,LT,Medium
2024,"Senior level","Full time","Data Engineer",3600000,INR,43217,IN,0,IN,Medium
2024,"Senior level","Full time","Data Engineer",3000000,INR,36014,IN,0,IN,Medium
2024,"Mid level","Full time","Systems Engineer",266157,USD,266157,US,100,US,Medium
2024,"Mid level","Full time","Systems Engineer",133238,USD,133238,US,100,US,Medium
